,,cc,cc,nss,nss,pg,pg,auc,auc,iou,iou,dice,dice,kl,kl,sim,sim
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
cls,layer,,,,,,,,,,,,,,,,
ASD,0,0.18371338178822677,0.19541108985492148,0.6763787208297298,0.8546743385891916,0.3924545791620319,0.3996122059615998,0.6148257645020712,0.24807016967876608,0.13892465777207322,0.10028888547395091,0.23117388033296432,0.1382800606647354,1.8566233827522636,0.3206623467877158,0.32108274013604304,0.056199549245709524
ASD,1,0.2515394033282735,0.1741914874965114,0.8362009258917137,0.7828283766688671,0.4708796811271784,0.3875869483634936,0.6822404878148394,0.22706283970296376,0.14752061841761013,0.10568669512991145,0.24340911378405347,0.143047692337977,1.6337909475194368,0.30734998447943834,0.3324417928759082,0.06126879673278077
ASD,2,0.4857077971570995,0.09682442516543685,1.845037681048281,0.5615544731248082,0.8307517612161661,0.2740575356321099,0.9057564820067137,0.09400390288620424,0.24833611104817113,0.07834516636640816,0.39063398786394177,0.09275943420517778,1.405576359729158,0.34923010630140605,0.39054461500738774,0.08753639944902629
ASD,3,0.7249799605106958,0.07765372705575575,2.9601821153855545,1.0487421923415947,0.971329254727475,0.10434829149571957,0.9669779710946272,0.05917580349009435,0.297658007735944,0.09646721591692352,0.4460447584692672,0.11467578435659138,1.2974588382210708,0.4203213497700051,0.45913451587025905,0.07247408465712218
DHS,0,0.20732759148972824,0.24467758231394368,0.8225591784779923,1.0384109593201873,0.38080495356037153,0.40673006156500535,0.6317315339316819,0.2450598076400982,0.13112623517934663,0.10237029251013595,0.21858557640700998,0.1420021496898039,2.0273647758557054,0.4070353727548868,0.2928216687804496,0.08538589862477056
DHS,1,0.27423885417131705,0.2212795628844621,0.9453660220258014,0.9828465731838406,0.4505356851882027,0.3795534381989643,0.697795417344175,0.22245642337955196,0.13724011838253147,0.10590520078841824,0.2269866767965363,0.14764556451934394,1.7451035255130423,0.4381509569952451,0.31673381841987286,0.08955360379361933
DHS,2,0.5487182422448615,0.06983442831610082,2.096287621574944,0.42583284642905256,0.8883717614469611,0.1982920723027333,0.9252005716513928,0.08377021205101426,0.2399263731799589,0.06983625501889887,0.38153858238170707,0.08077913676801908,1.333450191372314,0.2947458407738005,0.4148896759792704,0.07298132901212556
DHS,3,0.7421430150066856,0.0645409917167322,2.89243911403615,0.6840749114753333,0.9740915756884472,0.08647860087030068,0.9883348789326488,0.018902181407181803,0.31294027318619005,0.0689726992870335,0.4679322404442876,0.08268356068623023,1.2090685593162696,0.3288524256172288,0.48322932167591626,0.07715101722898694
LCS_HipOA,0,0.10630948765422264,0.2742915562187166,0.568902116999905,1.1773838590034142,0.457527543366151,0.4557911819322902,0.5776279402953604,0.35605011725742075,0.12634867280315962,0.07444578462844344,0.2162802962638874,0.11560042837694584,2.18041508215468,0.44358951788172396,0.2969967563160327,0.036097538037283675
LCS_HipOA,1,0.283592337689776,0.14359730862355655,1.0972220890432278,0.743218094992218,0.6657876230661041,0.34998528811367746,0.7319520329515364,0.2258886938135344,0.16619155497055363,0.05139718706139666,0.28101658182034434,0.07746112016152645,1.635353840588008,0.21107660440022388,0.32747293865419824,0.04292490608265744
LCS_HipOA,2,0.490279697657212,0.06341915184730892,1.7641785410382596,0.41449225160271064,0.8778275902484763,0.2114692702796262,0.9218034603688655,0.07621013789541058,0.27387299669557524,0.07628855122012702,0.4230206084177933,0.09053360932274568,1.3727985830668563,0.3944059083663561,0.38990174136116734,0.10938113555975543
LCS_HipOA,3,0.6902632007786621,0.07322768371377002,2.717432184094654,0.9965911836039063,0.9760607126113455,0.07945061621082541,0.9534897373414984,0.062243751652389025,0.2991948715388649,0.08635401199899864,0.4480833366050035,0.09906488244178235,1.3315653902923064,0.28381064001469986,0.4220506109720149,0.08139364753642395
